Очередь;Метка по КС;Идентификатор канала;Тип канала;Субъект Федерации;Район;Населенный пункт;PTP IP Prefix;AS Мегафон;Сети для для ССК    Z1.0/24;net Z1;Сеть LAN;граничный сегмент;Мнемокод X;номер Y;Полосность;Контроллер ССК;Камера обзорная;Камера обзорная;Камера обзорная;Камера обзорная;Камера обзорная;Камера обзорная;Контроллер Ураган;Контроллер Ураган;Контроллер SICK;Контроллер SICK;iNode;ИБП;Laser SICK;Laser SICK;Laser SICK;Laser SICK;Laser SICK;Laser SICK;Laser SICK;Laser SICK;Laser SICK;Laser SICK;Laser SICK;Laser SICK
I;334;КС 334 Р;Резервный;Псковская обл.;Печорский р-н;Изборск;10.0.90.24/30;20632;10.90.35.0/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I;301;КС 301;Основной;Орловская обл.;Троснянский р-н;Ильино-Нагорный;10.0.73.16/30;65094;10.73.33.0/24;10.73.33.;Z1.64/26;Z1.0/27;ORL;13;2;10.73.33.66;10.73.33.67;10.73.33.68;;;;;10.73.33.73;;10.73.33.75;;10.73.33.77;10.73.33.78;10.73.33.79;10.73.33.80;10.73.33.81;10.73.33.82;;;;;;;;
I;103;КС 103;Основной;Ленинградская обл.;Волховский р-н;Иссад;10.0.91.20/30;20632;10.91.35.0/24;10.91.35.;Z1.64/26;Z1.0/27;SPB;15;2;10.91.35.66;10.91.35.67;10.91.35.68;;;;;10.91.35.73;;10.91.35.75;;10.91.35.77;10.91.35.78;10.91.35.79;10.91.35.80;10.91.35.81;10.91.35.82;;;;;;;;
I;103;КС 103 Р;Резервный;Ленинградская обл.;Волховский р-н;Иссад;10.0.91.24/30;20632;10.91.35.0/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
II;246;КС 246;Основной;Волгоградская обл.;Калачёвский р-н;Калач-на-Дону;10.0.21.8/30;65501;10.21.31.0/24;10.21.31.;Z1.64/26;Z1.0/27;VOL;10;2;10.21.31.66;10.21.31.67;10.21.31.68;;;;;10.21.31.73;;10.21.31.75;;10.21.31.77;10.21.31.78;10.21.31.79;10.21.31.80;10.21.31.81;10.21.31.82;;;;;;;;
II;246;КС 246 Р;Резервный;Волгоградская обл.;Калачёвский р-н;Калач-на-Дону;10.0.21.12/30; 31133;10.21.31.0/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
II;52;КС 52;Основной;Татарстан;Елабужский р-н;Кама-2;10.0.53.20/30;65501;10.53.33.0/24;10.53.33.;Z1.64/26;Z1.0/27;KAZ;13;4;10.53.33.66;10.53.33.67;10.53.33.68;10.53.33.69;10.53.33.70;;;10.53.33.73;;10.53.33.75;;10.53.33.77;10.53.33.78;10.53.33.79;10.53.33.80;10.53.33.81;10.53.33.82;10.53.33.83;10.53.33.84;10.53.33.85;10.53.33.86;;;;
II;480;КС 480;Основной;Вологодская обл.;Череповецкий р-н;Карманица;10.0.85.12/30;20632;10.85.33.0/24;10.85.33.;Z1.64/26;Z1.0/27;VLG;13;2;10.85.33.66;10.85.33.67;10.85.33.68;;;;;10.85.33.73;;10.85.33.75;;10.85.33.77;10.85.33.78;10.85.33.79;10.85.33.80;10.85.33.81;10.85.33.82;;;;;;;;
I;342;КС 342;Основной;Калининградская обл.;Нестеровский;Кибартай;10.0.86.12/30;31213;10.86.32.0/24;10.86.32.;Z1.64/26;Z1.0/27;KLN;12;2;10.86.32.66;10.86.32.67;10.86.32.68;;;;;10.86.32.73;;10.86.32.75;;10.86.32.77;10.86.32.78;10.86.32.79;10.86.32.80;10.86.32.81;10.86.32.82;;;;;;;;
I;342;КС 342 Р;Резервный;Калининградская обл.;Нестеровский;Кибартай;10.0.86.16/30;31213;10.86.32.0/24;;;;KLN;;;;;;;;;;;;;;;;;;;;;;;;;;;
I;94;КС 94;Основной;Ленинградская обл.;Кингисеппский р-н;Кингисепп, Новопятницкое;10.0.91.28/30;20632;10.91.36.0/24;10.91.36.;Z1.64/26;Z1.0/27;SPB;16;3;10.91.36.66;10.91.36.67;10.91.36.68;10.91.36.69;;;;10.91.36.73;;10.91.36.75;;10.91.36.77;10.91.36.78;10.91.36.79;10.91.36.80;10.91.36.81;10.91.36.82;10.91.36.83;10.91.36.84;;;;;;
I;94;КС 94 Р;Резервный;Ленинградская обл.;Кингисеппский р-н;Кингисепп, Новопятницкое;10.0.91.32/30;20632;10.91.36.0/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I;303;КС 303;Основной;Курская обл.;Курский р-н;Клюква;10.0.71.8/30;65094;10.71.31.0/24;10.71.31.;Z1.64/26;Z1.0/27;KUO;11;2;10.71.31.66;10.71.31.67;10.71.31.68;;;;;10.71.31.73;;10.71.31.75;;10.71.31.77;10.71.31.78;10.71.31.79;10.71.31.80;10.71.31.81;10.71.31.82;;;;;;;;
II;69;КС 69;Основной;Архангельская обл.;Холмогорский р-н;Кожгора;10.0.83.4/30;31213;10.83.30.0/24;10.83.30.;Z1.64/26;Z1.0/27;;11;2;10.83.30.66;10.83.30.67;10.83.30.68;;;;;10.83.30.73;;10.83.30.75;;10.83.30.77;10.83.30.78;10.83.30.79;10.83.30.80;10.83.30.81;10.83.30.82;;;;;;;;
II;360;КС 360;Основной;Нижегородская обл.;Арзамасский р-н;Кожино;10.0.52.4/30;65094;10.52.31.0/24;10.52.31.;Z1.64/26;Z1.0/27;NNO;11;2;10.52.31.66;10.52.31.67;10.52.31.68;;;;;10.52.31.73;;10.52.31.75;;10.52.31.77;10.52.31.78;10.52.31.79;10.52.31.80;10.52.31.81;10.52.31.82;;;;;;;;
II;378;КС 378;Основной;Марий Эл;Звениговский р-н;Кожласола;10.0.48.0/30;65501;10.48.30.0/24;10.48.30.;Z1.64/26;Z1.0/27;IOL;10;2;10.48.30.66;10.48.30.67;10.48.30.68;;;;;10.48.30.73;;10.48.30.75;;10.48.30.77;10.48.30.78;10.48.30.79;10.48.30.80;10.48.30.81;10.48.30.82;;;;;;;;
I;29;КС 29;Основной;Московская обл.;Каширский р-н;Кокино;10.0.50.180/30;25159;10.77.53.0/24;10.77.53.;Z1.64/26;Z1.0/27;MSO;28;2;10.77.53.66;10.77.53.67;10.77.53.68;;;;;10.77.53.73;;10.77.53.75;;10.77.53.77;10.77.53.78;10.77.53.79;10.77.53.80;10.77.53.81;10.77.53.82;;;;;;;;
I;29;КС 29 Р;Резервный;Московская обл.;Каширский р-н;Кокино;10.0.50.184/30;25159;10.77.53.0/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I;278;КС 278;Основной;Ленинградская обл.;Волховский р-н;Колчаново;10.0.91.36/30;20632;10.91.37.0/24;10.91.37.;Z1.64/26;Z1.0/27;SPB;17;2;10.91.37.66;10.91.37.67;10.91.37.68;;;;;10.91.37.73;;10.91.37.75;;10.91.37.77;10.91.37.78;10.91.37.79;10.91.37.80;10.91.37.81;10.91.37.82;;;;;;;;
III (II);30;КС 30;Основной;Волгоградская обл.;Городищенский р-н;Конный (~ Волгоград);10.0.21.0/30;65501;10.21.30.0/24;10.21.30.;Z1.64/26;Z1.0/27;VOL;11;5;10.21.30.66;10.21.30.67;10.21.30.68;10.21.30.69;10.21.30.70;10.21.30.71;;10.21.30.73;10.21.30.74;10.21.30.75;10.21.30.76;10.21.30.77;10.21.30.78;10.21.30.79;10.21.30.80;10.21.30.81;10.21.30.82;10.21.30.83;10.21.30.84;10.21.30.85;10.21.30.86;10.21.30.87;10.21.30.88;;
III (II);30;КС 30 Р;Резервный;Волгоградская обл.;Городищенский р-н;Конный (~ Волгоград);10.0.21.4/30; 31133;10.21.30.0/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
II;414;КС 414;Основной;Краснодарский край;Кореновский р-н;Кореновск (12 км.);10.0.19.24/30;31163;10.19.34.0/24;10.19.34.;Z1.64/26;Z1.0/27;LIP;14;2;10.19.34.66;10.19.34.67;10.19.34.68;;;;;10.19.34.73;;10.19.34.75;;10.19.34.77;10.19.34.78;10.19.34.79;10.19.34.80;10.19.34.81;10.19.34.82;;;;;;;;
II;354;КС 354;Основной;Липецкая обл.;Липецкий р-н;Косыревка;10.0.72.4/30;31163;10.72.31.0/24;10.72.31.;Z1.64/26;Z1.0/27;;11;2;10.72.31.66;10.72.31.67;10.72.31.68;;;;;10.72.31.73;;10.72.31.75;;10.72.31.77;10.72.31.78;10.72.31.79;10.72.31.80;10.72.31.81;10.72.31.82;;;;;;;;
II;97;КС 97;Основной;Кировская обл.;Котельнич;Котельнич;10.0.57.0/30;29648;10.57.30.0/24;10.57.30.;Z1.64/26;Z1.0/27;KIR;12;2;10.57.30.66;10.57.30.67;10.57.30.68;;;;;10.57.30.73;;10.57.30.75;;10.57.30.77;10.57.30.78;10.57.30.79;10.57.30.80;10.57.30.81;10.57.30.82;;;;;;;;
I;14;КС 14;Основной;Белгородская обл.;Белгородский р-н;Красное (Белгород);10.0.64.0/30;31163;10.64.30.0/24;10.64.30.;Z1.64/26;Z1.0/27;BEL;10;4;10.64.30.66;10.64.30.67;10.64.30.68;10.64.30.69;10.64.30.70;;;10.64.30.73;;10.64.30.75;;10.64.30.77;10.64.30.78;10.64.30.79;10.64.30.80;10.64.30.81;10.64.30.82;10.64.30.83;10.64.30.84;10.64.30.85;10.64.30.86;;;;
II;384;КС 384;Основной;Тамбовская обл.;Тамбовский р-н;Красносвободное (Тамбов, юго-запад, 9 км.);10.0.76.4/30;31163;10.76.31.0/24;10.76.31.;Z1.64/26;Z1.0/27;TAM;11;2;10.76.31.66;10.76.31.67;10.76.31.68;;;;;10.76.31.73;;10.76.31.75;;10.76.31.77;10.76.31.78;10.76.31.79;10.76.31.80;10.76.31.81;10.76.31.82;;;;;;;;
II;339;КС 339;Основной;Нижегородская обл.;Кстовский р-н;Кстово;10.0.52.8/30;65094;10.52.32.0/24;10.52.32.;Z1.64/26;Z1.0/27;NNO;12;4 с широкой обочиной;10.52.32.66;10.52.32.67;10.52.32.68;10.52.32.69;10.52.32.70;;;10.52.32.73;10.52.32.74;10.52.32.75;;10.52.32.77;10.52.32.78;10.52.32.79;10.52.32.80;10.52.32.81;10.52.32.82;10.52.32.83;10.52.32.84;10.52.32.85;10.52.32.86;;;;
II;96;КС 96;Основной;Марий Эл;Медведевский р-н;Купсолинский;10.0.48.4/30;65501;10.48.31.0/24;10.48.31.;Z1.64/26;Z1.0/27;IOL;11;2;10.48.31.66;10.48.31.67;10.48.31.68;;;;;10.48.31.73;;10.48.31.75;;10.48.31.77;10.48.31.78;10.48.31.79;10.48.31.80;10.48.31.81;10.48.31.82;;;;;;;;
II;379;КС 379;Основной;Марий Эл;Медведевский р-н;Куяр;10.0.48.8/30;65501;10.48.32.0/24;10.48.32.;Z1.64/26;Z1.0/27;IOL;12;2;10.48.32.66;10.48.32.67;10.48.32.68;;;;;10.48.32.73;;10.48.32.75;;10.48.32.77;10.48.32.78;10.48.32.79;10.48.32.80;10.48.32.81;10.48.32.82;;;;;;;;
III (II);438;КС 438;Основной;Ленинградская обл.;Выборгский р-н;Ленинское;10.0.91.40/30;20632;10.91.38.0/24;10.91.38.;Z1.64/26;Z1.0/27;SPB;18;2;10.91.38.66;10.91.38.67;10.91.38.68;;;;;10.91.38.73;;10.91.38.75;;10.91.38.77;10.91.38.78;10.91.38.79;10.91.38.80;10.91.38.81;10.91.38.82;;;;;;;;
II;479;КС 479;Основной;Вологодская обл.;Устюженский р-н;Леонтьево;10.0.85.16/30;20632;10.85.34.0/24;10.85.34.;Z1.64/26;Z1.0/27;VLG;14;2;10.85.34.66;10.85.34.67;10.85.34.68;;;;;10.85.34.73;;10.85.34.75;;10.85.34.77;10.85.34.78;10.85.34.79;10.85.34.80;10.85.34.81;10.85.34.82;;;;;;;;
I;341;КС 341;Основной;Калининградская обл.;Гусевский р-н;Лермонтово;10.0.86.24/30;31213;10.86.33.0/24;10.86.33.;Z1.64/26;Z1.0/27;KLN;13;2 с широкой обочиной;10.86.33.66;10.86.33.67;10.86.33.68;;;;;10.86.33.73;;10.86.33.75;;10.86.33.77;10.86.33.78;10.86.33.79;10.86.33.80;10.86.33.81;10.86.33.82;;;;;;;;
II;256;КС 256;Основной;Краснодарский край;Туапсинский р-н;Лермонтово, Джубга (3 км.);10.0.19.28/30;31163;10.19.35.0/24;10.19.35.;Z1.64/26;Z1.0/27;KRN;15;3;10.19.35.66;10.19.35.67;10.19.35.68;10.19.35.69;;;;10.19.35.73;;10.19.35.75;;10.19.35.77;10.19.35.78;10.19.35.79;10.19.35.80;10.19.35.81;10.19.35.82;10.19.35.83;10.19.35.84;;;;;;
II;275;КС 275;Основной;Вологодская обл.;Вологодский р-н;Лесково;10.0.85.20/30;20632;10.85.35.0/24;10.85.35.;Z1.64/26;Z1.0/27;;15;2;10.85.35.66;10.85.35.67;10.85.35.68;;;;;10.85.35.73;;10.85.35.75;;10.85.35.77;10.85.35.78;10.85.35.79;10.85.35.80;10.85.35.81;10.85.35.82;;;;;;;;
II;43;КС 43;Основной;Нижегородская обл.;г. Дзержинск;Лесная Поляна;10.0.52.12/30;65094;10.52.33.0/24;10.52.33.;Z1.64/26;Z1.0/27;NNO;13;4 с широкой обочиной;10.52.33.66;10.52.33.67;10.52.33.68;10.52.33.69;10.52.33.70;;;10.52.33.73;10.52.33.74;10.52.33.75;;10.52.33.77;10.52.33.78;10.52.33.79;10.52.33.80;10.52.33.81;10.52.33.82;10.52.33.83;10.52.33.84;10.52.33.85;10.52.33.86;;;;
II;274;КС 274;Основной;Ивановская обл.;Ивановский р-н;Лесное;10.0.67.0/30;31213;10.67.30.0/24;10.67.30.;Z1.64/26;Z1.0/27;IVA;10;3;10.67.30.66;10.67.30.67;10.67.30.68;10.67.30.69;;;;10.67.30.73;;10.67.30.75;;10.67.30.77;10.67.30.78;10.67.30.79;10.67.30.80;10.67.30.81;10.67.30.82;10.67.30.83;10.67.30.84;;;;;;
II;404;КС 404;Основной;Татарстан;Верхнеуслонский р-н;Лесные Моркваши (Казань, юго-запад);10.0.53.24/30;65501;10.53.34.0/24;10.53.34.;Z1.64/26;Z1.0/27;KAZ;14;2;10.53.34.66;10.53.34.67;10.53.34.68;;;;;10.53.34.73;;10.53.34.75;;10.53.34.77;10.53.34.78;10.53.34.79;10.53.34.80;10.53.34.81;10.53.34.82;;;;;;;;
II;404;КС 404 Р;Резервный;Татарстан;Верхнеуслонский р-н;Лесные Моркваши (Казань, юго-запад);10.0.53.28/30; 31133;10.53.34.0/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I;105;КС 105;Основной;Ленинградская обл.;Лодейнопольский р-н;Лодейное Поле;10.0.91.44/30;20632;10.91.39.0/24;10.91.39.;Z1.64/26;Z1.0/27;SPB;19;2;10.91.39.66;10.91.39.67;10.91.39.68;;;;;10.91.39.73;;10.91.39.75;;10.91.39.77;10.91.39.78;10.91.39.79;10.91.39.80;10.91.39.81;10.91.39.82;;;;;;;;
II;252;КС 252;Основной;Ростовская обл.;Неклиновский р-н;Ломакин;10.0.22.12/30;31163;10.22.32.0/24;10.22.32.;Z1.64/26;Z1.0/27;RND;12;2;10.22.32.66;10.22.32.67;10.22.32.68;;;;;10.22.32.73;;10.22.32.75;;10.22.32.77;10.22.32.78;10.22.32.79;10.22.32.80;10.22.32.81;10.22.32.82;;;;;;;;
II;252;КС 252 Р;Резервный;Ростовская обл.;Неклиновский р-н;Ломакин;10.0.22.16/30;31163;10.22.32.0/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
II;273;КС 273;Основной;Владимирская обл.;Суздальский р-н;Лопатницы;10.0.66.20/30;65094;10.66.34.0/24;10.66.34.;Z1.64/26;Z1.0/27;VLA;11;2;10.66.34.66;10.66.34.67;10.66.34.68;;;;;10.66.34.73;;10.66.34.75;;10.66.34.77;10.66.34.78;10.66.34.79;10.66.34.80;10.66.34.81;10.66.34.82;;;;;;;;
I;17;КС 17;Основной;Московская обл.;Луховицкий р-н;Луховицы;10.0.50.188/30;25159;10.77.54.0/24;10.77.54.;Z1.64/26;Z1.0/27;MSO;29;4;10.77.54.66;10.77.54.67;10.77.54.68;10.77.54.69;10.77.54.70;;;10.77.54.73;;10.77.54.75;;10.77.54.77;10.77.54.78;10.77.54.79;10.77.54.80;10.77.54.81;10.77.54.82;10.77.54.83;10.77.54.84;10.77.54.85;10.77.54.86;;;;
I;17;КС 17 Р;Резервный;Московская обл.;Луховицкий р-н;Луховицы;10.0.50.192/30;25159;10.77.54.0/24;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
II;412;КС 412;Основной;Адыгея;Майкоп г.о.;Майкоп;10.0.17.4/30;31163;10.17.30.0/24;10.17.30.;Z1.64/26;Z1.0/27;MIK;10;4;10.17.30.66;10.17.30.67;10.17.30.68;10.17.30.69;10.17.30.70;;;10.17.30.73;;10.17.30.75;;10.17.30.77;10.17.30.78;10.17.30.79;10.17.30.80;10.17.30.81;10.17.30.82;10.17.30.83;10.17.30.84;10.17.30.85;10.17.30.86;;;;
I;280;КС 280;Основной;Псковская обл.;Порховский р-н;Мал. Каменка;10.0.90.28/30;31213;10.90.36.0/24;10.90.36.;Z1.64/26;Z1.0/27;PSK;16;2;10.90.36.66;10.90.36.67;10.90.36.68;;;;;10.90.36.73;;10.90.36.75;;10.90.36.77;10.90.36.78;10.90.36.79;10.90.36.80;10.90.36.81;10.90.36.82;;;;;;;;
II;191;КС 191;Основной;Московская обл.;Орехово-Зуевский р-н;Малая Дубна;10.0.50.196/30;25159;10.77.55.0/24;10.77.55.;Z1.64/26;Z1.0/27;MSO;30;4 с широкой обочиной;10.77.55.66;10.77.55.67;10.77.55.68;10.77.55.69;10.77.55.70;;;10.77.55.73;10.77.55.74;10.77.55.75;;10.77.55.77;10.77.55.78;10.77.55.79;10.77.55.80;10.77.55.81;10.77.55.82;10.77.55.83;10.77.55.84;10.77.55.85;10.77.55.86;;;;
II;191;КС 191 Р;Резервный;Московская обл.;Орехово-Зуевский р-н;Малая Дубна;10.0.50.200/30;25159;10.77.55.0/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
II;45;КС 45;Основной;Нижегородская обл.;Кстовский р-н;Малиновка;10.0.52.16/30;65094;10.52.34.0/24;10.52.34.;Z1.64/26;Z1.0/27;NNO;14;2;10.52.34.66;10.52.34.67;10.52.34.68;;;;;10.52.34.73;;10.52.34.75;;10.52.34.77;10.52.34.78;10.52.34.79;10.52.34.80;10.52.34.81;10.52.34.82;;;;;;;;
II;45;КС 45 Р;Резервный;Нижегородская обл.;Кстовский р-н;Малиновка;10.0.52.20/30;65094;10.52.34.0/24;;Z1.64/26;Z1.0/27;NNO;14;;;;;;;;;;;;;;;;;;;;;;;;;;
II;464;КС 464;Основной;Калмыкия;Малодербетовский р-н;Малые Дербеты;10.0.18.0/30;65501;10.18.30.0/24;10.18.30.;Z1.64/26;Z1.0/27;ELS;10;3;10.18.30.66;10.18.30.67;10.18.30.68;10.18.30.69;;;;10.18.30.73;;10.18.30.75;;10.18.30.77;10.18.30.78;10.18.30.79;10.18.30.80;10.18.30.81;10.18.30.82;10.18.30.83;10.18.30.84;;;;;;
I;189;КС 189;Основной;Владимирская обл.;Киржачский р-н;Мележи;10.0.66.8/30;65094;10.66.30.0/24;10.66.30.;Z1.64/26;Z1.0/27;VLA;12;2;10.66.30.66;10.66.30.67;10.66.30.68;;;;;10.66.30.73;;10.66.30.75;;10.66.30.77;10.66.30.78;10.66.30.79;10.66.30.80;10.66.30.81;10.66.30.82;;;;;;;;
I;189;КС 189 Р;Резервный;Владимирская обл.;Киржачский р-н;Мележи;10.0.66.12/30;65094;10.66.30.0/24;;;;VLA;;;;;;;;;;;;;;;;;;;;;;;;;;;
II;462;КС 462;Основной;Татарстан;Мензелинский р-н;Мензелинск;10.0.53.32/30;65501;10.53.35.0/24;10.53.35.;Z1.64/26;Z1.0/27;KAZ;15;2;10.53.35.66;10.53.35.67;10.53.35.68;;;;;10.53.35.73;;10.53.35.75;;10.53.35.77;10.53.35.78;10.53.35.79;10.53.35.80;10.53.35.81;10.53.35.82;;;;;;;;
I;283;КС 283;Основной;Ленинградская обл.;Ломоносовский р-н;н.п. Гостилицы;10.0.91.48/30;20632;10.91.40.0/24;10.91.40.;Z1.64/26;Z1.0/27;SPB;20;2;10.91.40.66;10.91.40.67;10.91.40.68;;;;;10.91.40.73;;10.91.40.75;;10.91.40.77;10.91.40.78;10.91.40.79;10.91.40.80;10.91.40.81;10.91.40.82;;;;;;;;
I;287;КС 287;Основной;Ленинградская обл.;Кировский район;н.п. Келколово;10.0.91.52/30;20632;10.91.41.0/24;10.91.41.;Z1.64/26;Z1.0/27;SPB;21;2;10.91.41.66;10.91.41.67;10.91.41.68;;;;;10.91.41.73;;10.91.41.75;;10.91.41.77;10.91.41.78;10.91.41.79;10.91.41.80;10.91.41.81;10.91.41.82;;;;;;;;
I;13;КС 13;Основной;Курская обл.;Обоянский р-н;Нагорный;10.0.71.12/30;65094;10.71.32.0/24;10.71.32.;Z1.64/26;Z1.0/27;KUO;12;2;10.71.32.66;10.71.32.67;10.71.32.68;;;;;10.71.32.73;;10.71.32.75;;10.71.32.77;10.71.32.78;10.71.32.79;10.71.32.80;10.71.32.81;10.71.32.82;;;;;;;;
I;74;КС 74;Основной;Московская обл.;Истринский р-н;Надеждино;10.0.50.204/30;25159;10.77.56.0/24;10.77.56.;Z1.64/26;Z1.0/27;MSO;31;4;10.77.56.66;10.77.56.67;10.77.56.68;10.77.56.69;10.77.56.70;;;10.77.56.73;;10.77.56.75;;10.77.56.77;10.77.56.78;10.77.56.79;10.77.56.80;10.77.56.81;10.77.56.82;10.77.56.83;10.77.56.84;10.77.56.85;10.77.56.86;;;;
I;74;КС 74 Р;Резервный;Московская обл.;Истринский р-н;Надеждино;10.0.50.208/30;25159;10.77.56.0/24;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
I;195;КС 195;Основной;Брянская обл.;Унечский р-н;Найтоповичи;10.0.65.20/30;65094;10.65.34.0/24;10.65.34.;Z1.64/26;Z1.0/27;BRO;14;2;10.65.34.66;10.65.34.67;10.65.34.68;;;;;10.65.34.73;;10.65.34.75;;10.65.34.77;10.65.34.78;10.65.34.79;10.65.34.80;10.65.34.81;10.65.34.82;;;;;;;;
I;124;КС 124;Основной;Псковская обл.;Невельский р-н;Невель;10.0.90.32/30;31213;10.90.37.0/24;10.90.37.;Z1.64/26;Z1.0/27;PSK;17;2;10.90.37.66;10.90.37.67;10.90.37.68;;;;;10.90.37.73;;10.90.37.75;;10.90.37.77;10.90.37.78;10.90.37.79;10.90.37.80;10.90.37.81;10.90.37.82;;;;;;;;
II;385;КС 385;Основной;Тамбовская обл.;Мордовский р-н;Никольское;10.0.76.8/30;31163;10.76.32.0/24;10.76.32.;Z1.64/26;Z1.0/27;TAM;12;2;10.76.32.66;10.76.32.67;10.76.32.68;;;;;10.76.32.73;;10.76.32.75;;10.76.32.77;10.76.32.78;10.76.32.79;10.76.32.80;10.76.32.81;10.76.32.82;;;;;;;;
II;276;КС 276;Основной;Вологодская обл.;Шекснинский р-н;Нифантово;10.0.85.24/30;20632;10.85.36.0/24;10.85.36.;Z1.64/26;Z1.0/27;VLG;16;3;10.85.36.66;10.85.36.67;10.85.36.68;10.85.36.69;;;;10.85.36.73;;10.85.36.75;;10.85.36.77;10.85.36.78;10.85.36.79;10.85.36.80;10.85.36.81;10.85.36.82;10.85.36.83;10.85.36.84;;;;;;
II;386;КС 386;Основной;Тамбовская обл.;Тамбовский р-н;Новая Ляда;10.0.76.12/30;31163;10.76.33.0/24;10.76.33.;Z1.64/26;Z1.0/27;TAM;13;3;10.76.33.66;10.76.33.67;10.76.33.68;10.76.33.69;;;;10.76.33.73;;10.76.33.75;;10.76.33.77;10.76.33.78;10.76.33.79;10.76.33.80;10.76.33.81;10.76.33.82;10.76.33.83;10.76.33.84;;;;;;
I;176;КС 176;Основной;Московская обл.;Подольский р-н;Новгородово;10.0.50.212/30;25159;10.77.57.0/24;10.77.57.;Z1.64/26;Z1.0/27;MSO;32;2;10.77.57.66;10.77.57.67;10.77.57.68;;;;;10.77.57.73;;10.77.57.75;;10.77.57.77;10.77.57.78;10.77.57.79;10.77.57.80;10.77.57.81;10.77.57.82;;;;;;;;
I;176;КС 176 Р;Резервный;Московская обл.;Подольский р-н;Новгородово;10.0.50.216/30;25159;10.77.57.0/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
II;33;КС 33;Основной;Волгоградская обл.;Новоаннинский р-н;Новоаннинский;10.0.21.32/30;65501;10.21.32.0/24;10.21.32.;Z1.64/26;Z1.0/27;VOL;12;2;10.21.32.66;10.21.32.67;10.21.32.68;;;;;10.21.32.73;;10.21.32.75;;10.21.32.77;10.21.32.78;10.21.32.79;10.21.32.80;10.21.32.81;10.21.32.82;;;;;;;;
II;33;КС 33 Р;Резервный;Волгоградская обл.;Новоаннинский р-н;Новоаннинский;10.0.21.36/30; 31133;10.21.32.0/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I;101;КС 101;Основной;Ленинградская обл.;Всеволжский р-н;Новосергиевка;10.0.91.56/30;20632;10.91.42.0/24;10.91.42.;Z1.64/26;Z1.0/27;SPB;22;4;10.91.42.66;10.91.42.67;10.91.42.68;10.91.42.69;10.91.42.70;;;10.91.42.73;;10.91.42.75;;10.91.42.77;10.91.42.78;10.91.42.79;10.91.42.80;10.91.42.81;10.91.42.82;10.91.42.83;10.91.42.84;10.91.42.85;10.91.42.86;;;;
I;101;КС 101 Р;Резервный;Ленинградская обл.;Всеволжский р-н;Новосергиевка;10.0.91.60/30;20632;10.91.42.0/24;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
II;244;КС 244;Основной;Ростовская обл.;Красносулинский р-н;Новошахтинск;10.0.22.20/30;31163;10.22.33.0/24;10.22.33.;Z1.64/26;Z1.0/27;RND;13;2;10.22.33.66;10.22.33.67;10.22.33.68;;;;;10.22.33.73;;10.22.33.75;;10.22.33.77;10.22.33.78;10.22.33.79;10.22.33.80;10.22.33.81;10.22.33.82;;;;;;;;
II;245;КС 245;Основной;Волгоградская обл.;Городищенский р-н;Новый Рогачик (Волгоград);10.0.21.40/30;65501;10.21.35.0/24;10.21.35.;Z1.64/26;Z1.0/27;VOL;13;2;10.21.35.66;10.21.35.67;10.21.35.68;;;;;10.21.35.73;;10.21.35.75;;10.21.35.77;10.21.35.78;10.21.35.79;10.21.35.80;10.21.35.81;10.21.35.82;;;;;;;;
II;293;КС 293;Основной;Орловская обл.;Орловский р-н;Образцово;10.0.73.20/30;65094;10.73.34.0/24;10.73.34.;Z1.64/26;Z1.0/27;ORL;14;2;10.73.34.66;10.73.34.67;10.73.34.68;;;;;10.73.34.73;;10.73.34.75;;10.73.34.77;10.73.34.78;10.73.34.79;10.73.34.80;10.73.34.81;10.73.34.82;;;;;;;;
I;8;КС 8;Основной;Тульская обл.;Ленинский р-н;Октябрьский;10.0.78.0/30;65094;10.78.30.0/24;10.78.30.;Z1.64/26;Z1.0/27;TLA;10;2;10.78.30.66;10.78.30.67;10.78.30.68;;;;;10.78.30.73;;10.78.30.75;;10.78.30.77;10.78.30.78;10.78.30.79;10.78.30.80;10.78.30.81;10.78.30.82;;;;;;;;
II;396;КС 396;Основной;Волгоградская обл.;Дубовский р-н;Оленье;10.0.21.28/30;65501;10.21.34.0/24;10.21.34.;Z1.64/26;Z1.0/27;VOL;14;2;10.21.34.66;10.21.34.67;10.21.34.68;;;;;10.21.34.73;;10.21.34.75;;10.21.34.77;10.21.34.78;10.21.34.79;10.21.34.80;10.21.34.81;10.21.34.82;;;;;;;;
