Очередь;Метка по КС;Идентификатор канала;Тип канала;Субъект Федерации;Район;Населенный пункт;PTP IP Prefix;AS Мегафон;Сети для для ССК    Z1.0/24;net Z1;Сеть LAN;граничный сегмент;Мнемокод X;номер Y;Полосность;Контроллер ССК;Камера обзорная;Камера обзорная;Камера обзорная;Камера обзорная;Камера обзорная;Камера обзорная;Контроллер Ураган;Контроллер Ураган;Контроллер SICK;Контроллер SICK;iNode;ИБП;Laser SICK;Laser SICK;Laser SICK;Laser SICK;Laser SICK;Laser SICK;Laser SICK;Laser SICK;Laser SICK;Laser SICK;Laser SICK;Laser SICK
II;355;КС 355;Основной;Тамбовская обл.;Никифоровский р-н;Авдеевка (Юрловский);10.0.76.0/30;31163;10.76.30.0/24;10.76.30.;Z1.64/26;Z1.0/27;TAM;10;2;10.76.30.66;10.76.30.67;10.76.30.68;;;;;10.76.30.73;;10.76.30.75;;10.76.30.77;10.76.30.78;10.76.30.79;10.76.30.80;10.76.30.81;10.76.30.82;;;;;;;;
II;258;КС 258;Основной;Краснодарский край;Сочи;Адлер;10.0.19.0/30;31163;10.19.30.0/24;10.19.30.;Z1.64/26;Z1.0/27;KRN;10;4 с широкой обочиной;10.19.30.66;10.19.30.67;10.19.30.68;10.19.30.69;10.19.30.70;;;10.19.30.73;10.19.30.74;10.19.30.75;;10.19.30.77;10.19.30.78;10.19.30.79;10.19.30.80;10.19.30.81;10.19.30.82;10.19.30.83;10.19.30.84;10.19.30.85;10.19.30.86;;;;
II;258;КС 258 Р;Резервный;Краснодарский край;Сочи;Адлер;10.0.19.4/30;31163;10.19.30.0/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
III (II);309;КС 309;Основной;Краснодарский край;Сочи;Адлер;10.0.19.8/30;31163;10.19.31.0/24;10.19.31.;Z1.64/26;Z1.0/27;SPB;11;2 с широкой обочиной;10.19.31.66;10.19.31.67;10.19.31.68;;;;;10.19.31.73;;10.19.31.75;;10.19.31.77;10.19.31.78;10.19.31.79;10.19.31.80;10.19.31.81;10.19.31.82;;;;;;;;
I;475;КС 475;Основной;Ленинградская обл.;Кингисеппский р-н;Алексеевка ? Ополье;10.0.91.8/30;20632;10.91.32.0/24;10.91.32.;Z1.64/26;Z1.0/27;;12;2, на участке точки - расширение до 3;10.91.32.66;10.91.32.67;10.91.32.68;;;;;10.91.32.73;;10.91.32.75;;10.91.32.77;10.91.32.78;10.91.32.79;10.91.32.80;10.91.32.81;10.91.32.82;;;;;;;;
II;71;КС 71;Основной;Архангельская обл.;Приморский р-н;Архангельск г.о.;10.0.83.0/30;31213;10.83.31.0/24;10.83.31.;Z1.64/26;Z1.0/27;ARH;10;4;10.83.31.66;10.83.31.67;10.83.31.68;10.83.31.69;10.83.31.70;;;10.83.31.73;;10.83.31.75;;10.83.31.77;10.83.31.78;10.83.31.79;10.83.31.80;10.83.31.81;10.83.31.82;10.83.31.83;10.83.31.84;10.83.31.85;10.83.31.86;;;;
II;353;КС 353;Основной;Липецкая обл.;Афанасьево;Афанасьево;10.0.72.0/30;31163;10.72.30.0/24;10.72.30.;Z1.64/26;Z1.0/27;LIP;10;2;10.72.30.66;10.72.30.67;10.72.30.68;;;;;10.72.30.73;;10.72.30.75;;10.72.30.77;10.72.30.78;10.72.30.79;10.72.30.80;10.72.30.81;10.72.30.82;;;;;;;;
II;66;КС 66;Основной;Вологодская обл.;Сокольский р-н;Барское;10.0.85.0/30;20632;10.85.30.0/24;10.85.30.;Z1.64/26;Z1.0/27;VLG;10;2;10.85.30.66;10.85.30.67;10.85.30.68;;;;;10.85.30.73;;10.85.30.75;;10.85.30.77;10.85.30.78;10.85.30.79;10.85.30.80;10.85.30.81;10.85.30.82;;;;;;;;
I;184;КС 184;Основной;Московская обл.;Сергиево-Посадский р-н;Березняки;10.0.50.168/30;25159;10.77.51.0/24;10.77.51.;Z1.64/26;Z1.0/27;MSO;26;2;10.77.51.66;10.77.51.67;10.77.51.68;;;;;10.77.51.73;;10.77.51.75;;10.77.51.77;10.77.51.78;10.77.51.79;10.77.51.80;10.77.51.81;10.77.51.82;;;;;;;;
I;184;КС 184 Р;Резервный;Московская обл.;Сергиево-Посадский р-н;Березняки;10.0.50.172/30;25159;10.77.51.0/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
